seller,quantity_sold,seller_sales
"Boyd Brothers Ford Inc",11,44200
"Sky Touch Imports Inc",5,44200
"Antwerpens Toyota Village",3,44150
"Lariche Toyota Subaru Inc",4,44100
"Libertyville Chevrolet Inc",6,44050
"Lease Plan/Napleton Cadillac",3,44000
"Byers Delaware Auto Llc",3,44000
"Land Rover Of Reno",1,44000
"Charles Chevrolet Oldsmobile Inc",2,44000
"Elite Auto Group Inc",2,44000
"West Chevrolet Inc.",1,44000
"Long Mcarthur Inc",2,44000
"Premier Automotive Imports Of Ca Llc",4,44000
"Dawkins Auto Sales Inc",6,43950
"Exquisite Car Sales",5,43950
"Auto Funding Group",18,43900
"Bickford Motors",5,43900
"Envista Credit Union",8,43900
"Streamline Remarketing Inc",9,43900
"American Auto Sales",2,43850
"Landers Fiat",3,43850
"Mark Cj Inc",3,43850
"Brown's Jaguar",8,43800
"Action Auction Llc",7,43800
"U-haul Truck And Equipment Sales",2,43800
"Elite Car Rental",3,43800
"Mr Automotive",1,43750
"Lafontaine Subaru",10,43750
"Repo Remarketing/Chevron Fcu",5,43700
"Quality Autos Of Collins",2,43700
"Ultimate Buick Gmc",4,43700
"Premier Auto Sales",2,43700
"Ancor Financing Inc",5,43700
"The Motor Company Inc",3,43700
"Kents Auto Sales Inc",4,43700
"Euro Motorsports",3,43700
"Vescovo Toyota Of Las Cruces",7,43600
"David Austin Auto Sales",3,43600
"Investment Motors Sales & Leasing",2,43600
"Palmetto Health Credit Union",6,43600
"Wind Rider Auto Outlet Inc",6,43550
"Keffer Kia",5,43550
"Okemos Auto Collection",3,43550
"Miller Motors",3,43500
"United Imports",4,43500
"Practical Car Rental/Emak Industries Inc",5,43500
"Midflorida Credit Union",4,43500
"Toyota Of Boardman",4,43500
"Mobility Motoring Llc",3,43500
"Fred Beans Chrysler Dodge Jeep Ram",3,43450
"Persian Acceptance Corp",14,43450
"Pritchard Brothers Inc",4,43400
"Mercedes Benz Of Spokane",5,43350
"Coulter Cadillac Inc",3,43350
"Faulkner Subaru Mechanicsburg",10,43300
"Northwest Honda",4,43300
"Subaru Of Dayton",2,43300
"Katy Kars",3,43300
"Selective Autoplex",1,43250
"Gerald Nissan Inc",1,43250
"Unique Auto Brokerage",1,43250
"Atlantic Global Financing Inc",5,43200
"Contemporary Mitsubishi",4,43200
"Energy Fcu",3,43200
"Onemain Rem/Caltex Motors",3,43200
"Bmw Of Houston North In The Woodlands",7,43150
"Lithia Toyota Of Abilene",9,43100
"Rock Chevrolet",4,43100
"Budget Las Vegas/Ars",3,43100
"Classic Toyota",4,43100
"Arlington Lexus In Palatine",3,43100
"Trona Valley Community Fcu",3,43100
"Boyd Boys Auto & Truck",2,43000
"Gmotorcars Inc",3,43000
"Jones Auto Sales",1,43000
"Maguire Automotive Llc",2,43000
"Hector Felix Auto Corp",3,43000
"Nsk Industries Inc",1,43000
"Credit Union Of New Jersey",8,42950
"Cub Hill Motor Co Inc.",2,42950
"Community Auto Center Llc",2,42900
"Executive Auto Sales",2,42900
"Lithia Ford Lincoln Of Fresno",9,42850
"John Jones Automtv Outlet Inc",3,42800
"Remarketing By Ge/Manheim Houston",4,42800
"Stephens Chrslr Jeep Dodge Of Grnwich Llc",4,42800
"Fast Lane Direct Llc",2,42800
"Sloane Toyota Of Philadelphia",6,42800
"Marshal Mize Ford Inc",3,42800
"Nikles Motor Co Inc",2,42800
"Cucci Ford",3,42800
"Sullivan Investment Corporation",1,42750
"Repo Remarketing/North Island Fcu",4,42700
Wheels/Cox,4,42700
"Edmond Chevrolet Gmc Buick",3,42700
"Mmg Finance Llc",2,42700
"Volvo Na Lease/World Omni",2,42700
"Downey Nissan",4,42600
"Onemain Rem/Garcia Trucks Auto Sales Inc",8,42600
"Craig & Landreth Pre-owned",2,42600
"Western Brok Venture Ltd",2,42600
"Boston Foreign Motor",6,42600
"Third National Bank",3,42600
"Rick Phillips Motors",2,42500
"Commerce Hyundai",1,42500
"Onesource/Lynch Nissan",5,42500
"Toyota Chula Vista Dba Scion",2,42400
"Ttcu The Credit Union",3,42400
"Deragon Location Inc",2,42400
"Diamond Motor Company",4,42400
"Volvo Of Cincinnati",2,42400
"Bryan Bowman Chrys Dod Jeep",2,42400
"Starling Chevrolet Buick Gmc",14,42350
"Gambacorta Motors Inc",3,42300
"Hummer Connections Inc.",2,42300
"Rdr Car Truck Van Rentals",4,42300
"Summs Skip & Collections Service Inc",9,42300
"Beaverton Infiniti",2,42300
"Select Motor Group Llc",3,42200
"Nissan Dealer Blend/Nissan Of Cookeville",2,42200
"Merlin Auto Group",4,42200
"Liccardi Motors Llc",2,42200
"Professional Financial Services/Charlotte",8,42150
"Community One Auto Finance",5,42100
"Melly Auto Sales Inc",3,42100
"Frank Marcum Motors",2,42100
"Nusenda Federal Credit Union",4,42050
"Magnum Motors Inc",2,42000
"Chaparral Ford Inc",1,42000
"Rte 6 Auto Max",2,42000
"Manheim Nevada",3,42000
"Cars 4 Needs Inc",2,42000
"Jay Automobiles Inc",1,42000
"Signature Leasing Llc",2,42000
"Godwin Auto Sales Inc",1,42000
"Victory Auto Group Llc",12,41960
"John Elway Chevrolet",4,41900
"Leesburg Volkswagen",3,41900
"Unique Car Rental & Sales",7,41900
"Jack Safro Ford",2,41900
"Best Buy Auto Inc.",2,41900
"Oasis Chevrolet Llc",3,41900
"Maps Auto Center Llc",3,41900
"Dealer Finance",11,41800
"Hertz Car Exchange Inc/Orlando",3,41800
"Titlemax/Upland Ca1",6,41800
"Turk Collectors Inc",7,41800
"Husker Financial",15,41750
"P & R Auto Brokers Llc",1,41750
"American Finance & Association Corp",3,41750
"California Connection Auto Leasing Llc",2,41750
"Napleton Cad Saab",2,41750
"Hyundai Of La Quinta",2,41750
"Mackey Auto Broker",2,41700
"Cap City Motorsports Llc",2,41700
"Route 22 Auto Sales Inc.",2,41700
"The Wilhardt Collection Inc",2,41650
"Remarketing By Ge/Auto Discounters",5,41600
"Crest Lincoln Inc",5,41600
"Broward County Sheriffs Office",23,41600
"Carfinder Auto Sales Inc",2,41600
"Wheels By R T Incorporated",3,41600
"Mccarthy Olathe Nissan Inc",5,41550
"Crossroads Ford Mazda",15,41550
"Mall Chevrolet Inc",2,41500
"Jakes Auto Exchange",1,41500
"Rockville Auto Vehicle",4,41500
"Markham Auto Sales",1,41500
"Ace Auto Sales",3,41500
"N4s Auto Group",2,41500
"Brittany Motors Ltd",5,41500
"Beadles Chevrolet Buick Gmc Llc",2,41500
"Smart Toyota Of Quad Cities",2,41500
"Beaver Dam Ford Llc",2,41400
"Electro Savings Credit Union",7,41375
"Custom Remarketing Services/Lowe's",7,41350
"Primus Automotive Financial Services",7,41300
"Onemain Rem/Cars Under 5000",7,41300
"New Country Lexus Of Latham",3,41300
"Browning Auto Sales",2,41300
"Executive Auto Brokers & Leasing Inc",18,41250
"Autobahn Motorcars",2,41250
"Specialties Automotive Group Llc",1,41250
"Main Street Motors",3,41200
"Bleecker Buick Gmc Inc",7,41200
"Remarketing By Ge/Carolina Fcu",4,41200
"Helm Bank",2,41200
"Dick Vlist Motors Inc.",2,41200
"James Hodge Toyota",3,41200
"Autonation Acura Gulf Freeway",7,41200
"Mini Of Portland",6,41150
"Bergstrom Pioneer Auto & Truck Leasing Inc",3,41100
"Onesource/Limbaugh Toyota",1,41100
"Gainesville Nissan",4,41100
"Cfc Investment Company",1,41100
"Men Car Auto Sales",3,41100
"Select Auto Sales",3,41000
"Excalibur Auto Group Inc",2,41000
"Prestige Auto Imports Inc",6,41000
"Olivia Chrysler Center",2,41000
"Tom Sibbitt Chevrolet Buick Inc",3,41000
"Manheim Chicago Aa",5,40950
Atlautos.com,3,40900
"Fajardo Ford Inc",4,40900
"Doug Perry Wholesale Cars Inc",3,40900
"Autonation Toyota Thornton Road",13,40850
"Faulkner Nissan",7,40850
"Remarketing By Ge/All Star",5,40800
"Sheehy Ford Of Warrenton",2,40800
"Jim Hudson Hyundai",9,40800
"Atlantic Coast Remarketing Inc/Ia",4,40800
"Gt3 Auto Group",1,40800
"Ft Worth Community Credit Union",1,40750
"Flag/Proctor Subaru",2,40750
"Mike Keffer Chrysler Dodge Jeep Ram",4,40700
"Mike Carlson Motor Company",8,40700
"Luther Brookdale Volkswagen",7,40700
"First Team Hyu-nis-sub-vw Auto Mall",2,40700
"Elite Auto Sales Llc",3,40650
"Hinshaw's Acura",2,40600
"Mini Of Kennesaw",3,40600
"San Francisco Police Credit Union",2,40600
"Pure Pursuit Automotive",1,40600
"International Motor Group Annex",12,40600
"First State Bank",4,40600
"Volkswagen Gallery",6,40550
"Joyce Buick Gmc Inc",8,40500
"Stew Hansen Hyundai",3,40500
"Gm/Avis Rent A Car",1,40500
"Mercedes Benz Of Valencia",1,40500
"Anderson Truck & Trailer",1,40500
"Mobico Auto",4,40500
"Masterpiece Motorcars Llc",1,40400
"Mel Hambelton Ford Inc",1,40400
"Sampson Motors Llc",4,40400
"New Holland Toyota",2,40400
"Extreme Automotive Corp",4,40400
"Manheim Pennsylvania",3,40400
"Lincoln Of Olympia",3,40300
"Remarketing By Ge/First Commerce Credit Union",6,40300
"Allstate Leasing",3,40300
"Arizona Auto Resource",3,40300
"Silver Sales Automotive Group",1,40250
"Larry H Miller Nissan Mesa",4,40250
"Tempe Toyota",1,40250
"North End Motors Inc.",11,40250
"Hickam Fcu",4,40200
"Roseville Buick Gmc",2,40200
"Kia Of Brooklyn Park",2,40200
"Repo Remarketing/Pacific Community Credit Union",3,40100
"Tom Wood Nissan Inc",2,40100
"Lexus North Shore",4,40000
"Ed Shults Of Warren Inc",3,40000
"Transitowne Resale Of Amherst",2,40000
"Lindsay Honda",8,40000
"Nissan Of Newnan",2,40000
"Cape Fear Credit Union",9,40000
"Park Place Maserati Fort Worth",1,40000
"Drive 4 Less Auto Inc",1,40000
"Northtown Vplr",1,40000
"Central Florida Lincoln Mercury Inc",1,40000
"Unified Communities Fcu",2,39900
"Spartan Auto Brokers Llc",3,39900
"Onemain Rem/Advance Automotive Sales & Financing",3,39900
"Mcgoldrick Leasing Co Inc",2,39900
"Reliance Leasing Dba Avis Fargo",2,39800
"Moon Township Honda",2,39800
"Milton Dodge Chrysler Jeep Inc",2,39800
"Toyota Of San Bernardino",4,39800
"Mini Of Fort Myers",7,39800
"Route 44 Toyota",5,39800
"Www Getauctioncars Com",3,39800
"Moss Motor Company",1,39800
"Capital Bank",5,39800
"Carolina Autohaus",2,39800
"R.e.s. Enterprises Exchange Llc",2,39800
"Sherman Oaks Exclusive",1,39750
"Dario Auto Sales",5,39700
"Twin City Toyota",2,39700
"Capital One Auto Financing U.s.a. Llc",4,39700
"Southern Remarketing Solutions",3,39700
"Autobahn West Enterprises Inc",2,39700
"Northtown Auto Liquidators",4,39700
"Camp Bmw",9,39700
"Criswell Chrysler Jeep Dodge",9,39650
"Diamond Automotive Group",4,39600
"Eastern Carolina Nissan Inc",5,39600
"Bradenton Motors",1,39600
"Gilboy Volkswagen Inc",2,39600
"Ars/Meridian Remarketing",2,39600
"Midwest America Fcu",3,39550
"Healey Chevrolet Inc",8,39500
"Sonic Crest Honda Llc",9,39500
"Sixrentals Corp/Damage Liquidation",5,39500
"Dave White Acura",2,39500
"Bmw North America Pickups",1,39500
"First Technology Fcu",2,39400
"Bedard Bros Chevrolet",2,39400
"H D Auto Sales Inc",1,39400
"Burdick Ford Inc",2,39400
"Tdaf Remarketing/Miloschs Palace Chrysler Jeep",2,39400
"Onemain Rem/Royal Motors Wholesale",2,39400
"Hanover Hyundai",4,39400
"Lee Chrysler Dodge Jeep",1,39300
"Dr Detail Inc",2,39300
"Champion Toyota Corpus Christi",4,39300
"Professional Financial Services/Virginia Beach",6,39300
"New Wave Auto Sales",16,39300
"Wiz Leasing Inc",2,39250
"Tex Mex Used Cars",2,39250
"Sleepy Hollow Chevrolet Buick Gmc Inc",6,39200
"Newcastle Motors Ltd",2,39200
"Coastal Credit Llc / Jacksonville / Orange Park",8,39200
"Springs Rent A Car",2,39200
"Lee's Auto Sales And Detailing Inc",7,39150
"Alexander Buick Gmc Cadillac",2,39100
"Motor Village La",4,39100
"Larry Miller Volkswagen Avondale",4,39100
"Eisenhauer Nissan Inc",2,39100
"Omni Auto Consulting",3,39050
"Commercial Automotive Grp Inc",2,39050
"Triple S Auto Outlet",12,39050
"Quest Auto Sales Inc",3,39000
"Toyota Of Selma",1,39000
"Gem Mazda",2,39000
"Lewisville Mitsubishi",2,39000
"Ed Murdock Ford",2,39000
"Red Mccombs Superior Hyundai",1,39000
"Durbin Motor Sales",2,39000
"Charlotte Metro Credit Union",2,39000
"Ford Lincoln Of Franklin",1,39000
"Lexus El Cajon",2,39000
"Perfect Match Auto Com",1,39000
"Dehesa Auto Sales Llc",1,39000
"Westside Hyundai",2,39000
Primeritus,2,39000
"Wesley Chapel Nissan",3,38950
"Larson Motors",6,38900
"Heritage Bank",4,38900
"Mini Of Plano",3,38900
"Onemain Rem/Hanson Auto Repair",4,38900
"Motor Trend Imports Llc",2,38900
"Atlantic Coast Remarketing Inc/Gar",6,38900
"Millennium Motorcars Llc",2,38900
"Autonation Mitsubishi",9,38850
"South Credit Acceptance Llc",3,38800
"Harborstone Credit Union",3,38800
"Ryan Mtrs Of Morristown Inc",2,38800
"Community West Credit Union",1,38800
"Onemain Rem/Ramos Autos & Trucks Inc",9,38800
"Nissan Dealer Blend/Lake Norman Infiniti",2,38800
"Priority Nissan Chantilly",2,38750
"Georgia United Credit Union",4,38700
"Classic Automotive Inc",4,38700
"West Coast Auto Brokers",2,38700
"National Fleet Service",2,38700
"U S Auto Wholesale",5,38700
"Image Imports Auto Brokerage Inc",6,38700
"Crossroads Car And Truck",2,38700
"Page Honda Of Bloomfield",8,38650
"Vics Auto Wholesale",3,38650
"Ford Lincoln Of Queens Preowned",4,38650
"Super Discount Auto Sales Corp",3,38600
"Pleasant Motors",4,38600
"Globe Auto Center Inc",2,38600
"Chevrolet Cadillac Of Bellingham",19,38600
"Superior Autos For You",2,38600
"Norfolk Motors",4,38550
"Toyota Of Poway",6,38500
"Udrive Chicago Inc",2,38500
"Primeritus Remarketing/Marc Dalmolin Motos Llp",5,38400
"Ramos Auto Sales",3,38400
"Kc Ventures Llc",2,38400
"Jaguar Land Rover Treasure Coast",6,38400
"Corporate Motors Inc",10,38400
"Rd Cars",4,38350
"Beaman Dodge Chrysler Jeep Ram",2,38300
"Ken Cox Ford Inc",2,38300
"Source One Adj Of Ohio Inc/Skipco",6,38300
"Onemain Rem/Auto Access",8,38300
"California Xtreme Auto",2,38250
"Romano Motors Ltd",1,38200
"Cars/Carfinance Capital Llc",4,38200
"Crest Auto Wholesalers Of Sw Fl Inc",3,38200
"Classic Kia",4,38200
"Fast Title & Finance Inc",2,38200
"Bud Brown Volkswagen Llc",1,38200
"Ride Rite Auto Llc",4,38100
"Select Jeeps Inc",1,38100
"Hinsdale Bank & Trust",2,38100
"Onemain Rem/Crown Luxury Car Inc",4,38100
"Cox Mazda",3,38100
"Hubler Auto Plaza",2,38100
"Felt & Lukes Llc",4,38100
"Apple Ford",2,38100
"Sheehy Ford Ashland",4,38100
"Community Financial Fcu",1,38000
"Shults Resale Center",2,38000
"Colon Motor Auto Sales Inc",2,38000
"K And L Sales Inc",2,38000
"Fx Caprara Vlkwg Trailer Sales",2,38000
"911 Sportscars",1,38000
"Streuter Chevrolet Inc",1,38000
"Motor Truck Sales",1,38000
"Ontario Vehicle Exchange",2,38000
"Jds Rv Outlet Inc",2,38000
"Stan Bennett Sales Inc",1,38000
"Cortin Motors",4,37950
"M L Bradford Enterprises",2,37900
"Remarketing By Ge/Arrowhead Central Credit Union",5,37900
"Randy Reed Buick Gmc Inc",3,37900
"Automobiles N.c.",2,37900
"Coastal Credit Llc / Macedonia / Macedonia",11,37900
"Friedman's Financial Group Llc",3,37900
"Gainesville Mitsubishi",3,37900
"City Loan",10,37850
"Peoria Volkswagen",4,37850
"Onemain Rem/Nas Financial Services",10,37800
"San Diego Auto Finder",2,37800
"Carlock Kia Of Tuscaloosa",4,37800
"East End Auto Sales",1,37800
"Annapolis Volvo",14,37800
"Cardex Inc",1,37750
"Mechanicsville Toyota",4,37750
"The Kar Store",1,37750
"Riley Toyota Scion",3,37700
"Gunners Automotive Center Inc",2,37700
"Art Butler Auto Sales Inc",3,37700
"Longhorn Motorsports",3,37700
"Precision Auto Leasing",1,37700
"Northwest Sales & Service",2,37700
"Off Lease Remarketing Llc",2,37700
"Utah First Credit Union",4,37650
"Guess Motors Inc",2,37600
"Last Stop Motors Inc",3,37600
"W I Simonson",2,37600
"Arlington Auto Sales & Leasing Inc",2,37600
"Givens Auto Inc",4,37600
"Baron Bmw Baron Mini",3,37600
"Bob Harper Ford Inc",1,37600
"Germain Ford Of Beavercreek",1,37500
"Kisselback Ford",2,37500
"Duval Acura",1,37500
"Larry H Miller Chrysler Jeep Tucson",1,37500
"Vigils Auto Sales",2,37500
"S A Auto Sales",2,37500
"Team 'd' Auto Sales",3,37500
"Hofco Auto Consultants",1,37500
"Premier Acceptance",7,37450
"Hudson Nissan",2,37400
"Discount Motors",9,37400
"Onemain Rem/Hawthorne Motors Pre-owned",10,37400
"Lewis Page Auto Brokers",4,37400
"Law Auto Group Inc",1,37400
"Pfk Automotive",3,37400
"Norris Acura West",4,37350
"Onemain Rem/Joshy Auto Sales",6,37350
"Automotive Remarketing Inc/Resale Auto",29,37350
"Used Car Factory Inc",3,37300
"Mercedes Benz Of Augusta",2,37300
"Allen Turner Hyundai",2,37300
"Primeritus Remarketing/Car City Inc",2,37300
"Nissan Dealer Blend/Tustin Nissan",2,37250
"Flag/Fort Worth Audi",1,37250
"Leesburg Auto Import Llc",2,37250
"Carter Federal Credit Union",2,37200
"Sewell Infiniti Of Fort Worth",2,37200
"Rons Rides Inc",1,37200
"Exotics Car Rentals For Less Inc",4,37200
"Whetstone Partners",24,37150
"Primeritus Remarketing / Greenwood Credit U",8,37100
"Volkswagen Of Palm Springs",2,37100
"A S Auto Sales",3,37100
"Jud Kuhn Chevrolet",2,37100
"Rivers Edge Auto Llc",3,37100
"Quakertown Mitsubishi",2,37100
"Healey Ford Lincoln Llc",3,37100
"Ecars Usa",3,37050
"Healthcare Associates Credit Union",4,37000
"Dch Toyota Of Torrance",8,37000
"Onemain Rem/Metropolitan Classic Cars Inc",3,37000
"Mini Of Tempe",3,37000
"Rick Case Cars Inc",1,37000
"Proctor Motor Company Inc",2,37000
"Champion Chrysler Jeep Dodge",2,37000
"Uhlmann Motors Inc",2,37000
"Union Bank & Trust",3,37000
"David Scott Investments",3,37000
"Alen's Auto Sales Inc",1,37000
"Top Line Auto Inc",2,36900
"Stone Motors",2,36900
"Primeritus Remarketing / Huntington Bank",5,36900
"Pinnacle Financial Group",10,36800
"Lonestar Truck & Trailer",2,36800
"Motor Trends",2,36800
"Genessee Financial",9,36800
"Pj Auto Rentals Inc/Dba All American Car Rental",2,36800
"Albany Ford Subaru",2,36750
"Leo Martin Chevrolet Inc",3,36700
"Fifth Third Exchange",5,36700
"Autonation Honda Mendenhall",8,36700
"Ashland Ford Chrysler",1,36700
"Liberal Finance Service",8,36650
"Nissan Of Chattanooga East",8,36650
"Toyota Scion Of Gladstone",5,36600
"Rainbow Motors",5,36600
"Dan Vaden Chev Olds Bu Cad Is",1,36600
"Burlington Volkswagen Inc",4,36600
"Prime Acceptance Corp",9,36550
"Rotolo Chevrolet Inc",6,36500
"Sierra Blanca Motor Company",1,36500
"Graff Chevrolet Company",2,36500
"Atlantic Coast Remarketing Inc/Amss",2,36500
"Telco Cu",2,36500
"Belair Road Discount Auto Sales",7,36500
"Capital Lincoln Of Cary",2,36500
"Omega Auto Sale",2,36450
"Launch Fcu",5,36400
"Madison Capital Llc",2,36400
"Napleton Fleet Group",1,36400
"F A M International Inc",2,36400
"Foggs Automotive",4,36400
"Auto Vendors",2,36400
"Onemain Rem/Cisco Enterprises",5,36400
"Olathe Kia",2,36400
"Bryant Motors",2,36400
"United Autopia",2,36400
"White Sands Fcu",2,36300
"Bush Motors",4,36300
"Champion Auto Exchange",6,36300
"Kon Motors",3,36300
"Eynon Pontiac Buick Inc",1,36300
"Del Norte Credit Union",3,36300
"Bolsam Autos Llc",9,36250
"Storch Ford Inc",1,36250
"Repo Remarketing/Twin Star Credit Union",5,36200
"Jk Motors Inc",6,36200
"Midway Motor Sales Company Llc",3,36200
"The Faricy Boys",2,36200
"Dannys Auto Sales",6,36200
"Gannett Fleming Inc",5,36200
"Car Stash Llc",1,36200
"Stevens Ford Inc",2,36200
"Randy Adams Inc",1,36200
"Professional Financial Services/Pensacola",7,36150
"Lafontaine Volkswagen Of Dearborn",8,36150
"Wheel City Auto Sales",3,36100
"Gann Auto Group",1,36100
"Class Motor Sales",2,36100
"Gurley Leep Ford",2,36100
"Great Bridge Auto Sales",5,36100
"Hatfields Motor Cars Llc",3,36050
"Porsche Of San Diego",1,36000
"Primeritus Remarketing/Bayport Credit Uni",8,36000
"Palm Beach Auto Collection Inc",8,36000
"Sikeston Leasing Company Llc",3,36000
"Loomis Motorsports",1,36000
"Calico Motorcade",2,36000
"Denecker Chevrolet",2,36000
"Uva Community Credit Union",10,35950
"Preferred Motor Cars",4,35900
"Gene Messer Ford",1,35900
"Numerica Credit Union",5,35900
"World Auto Financial Llc",1,35900
"Aq Motors",5,35825
"Etc Auto Group Llc",4,35800
"Modern Nissan Of Concord Llc",2,35800
"Chicago Autoplex Inc",4,35800
"Pearl Harbor Fcu",3,35800
"Lance Inc Buick Pontiac Gmc",4,35800
"B Js Auto Wholesale Inc",1,35800
"Malones Automotive Inc",9,35800
"Alexandria Motor Company",2,35800
"Oneok Inc",4,35800
"Atwater Ford Inc",1,35750
"Town & Country Salida Inc",2,35750
"Maximum Auto Search",1,35750
"S Friedman Enterprises Inc",3,35700
"Pensacola Auto Brokers Inc",2,35700
"46 Vans & Trucks Llc",3,35700
"Rohrich Volkswagen Mazda",3,35700
"Repo Remarketing/Qualstar Credit Union",6,35700
"Visalia Ford",3,35700
"West End Autos",3,35700
"Performance Chrysler Jeep Dodge",1,35600
"Don Bohn Ford",2,35600
"Toronto Auto Broker",2,35600
"Aberdeen Fcu",4,35550
"Liberty Ford",17,35525
"Discover Preowned Sales",2,35500
"E J Auto Sales",2,35500
"M & M Auto Sale Inc",1,35500
"Acura Of Gainesville",3,35400
"Manheim Fredericksburg",7,35400
"Mid Carolina Credit Union",4,35400
"Nelson Auto Center Inc",4,35400
"Carsdirect Llc",2,35400
"Bill Jacobs Joliet Llc",2,35400
"Texas Autosmart Llc",5,35400
"D & D Motors Inc",3,35400
"Sloane Toyota Of Malvern",5,35400
"Gentilini Chevrolet Llc",2,35350
"Autonation Ford Fort Worth",4,35350
"Rentschler Corporation",3,35300
"Larson Enterprises Inc.",2,35300
"Duck River Electric Membership Corp",4,35300
"Kearny Mesa Hyundai Subaru",7,35200
"Criswell Chevrolet Of Thurmont Llc",5,35200
"T&t Auto Sales",2,35200
"Nationwide Remarketing",8,35150
"Bergey's Lincoln Mercury Inc",7,35150
"Tnh Enterprises Inc",1,35100
"Master Lease Plan Inc",2,35100
"Autostrada Enterprises Llc",5,35050
"Affordable Used Cars & Marine Sales",1,35000
"Pioneer Chevrolet Inc",2,35000
"Community United Credit Unoin",1,35000
"Langley Federal Credit Union",5,35000
"Ferrari Of Ft Lauderdale",1,35000
"Brandon Honda",3,35000
"Performance Auto Center",2,35000
"Lano Usa Inc",1,35000
"Peltier Chevrolet",1,35000
"Doral Auto Sales",1,35000
"Dollar Rac/St Louis",2,35000
"Repo Remarketing/Sun East Credit Union",2,35000
"Century Bmw",4,34950
"Prime Automart Inc",8,34900
"Top Finance Co",6,34900
"Ed Shults Ford Lincoln",1,34800
Jakmax,3,34800
"Joe Hall Used Cars Inc",2,34800
"Burge Floyd Auto & Leasing",1,34750
"Collins Auto Wholesale",2,34750
"Volunteers Of America Western Washington",35,34750
"Dellen Chry Dod Jeep",3,34750
"Dave Hallman Chevrolet Inc",2,34700
"Summit View Auto Llc",8,34700
"Lithia Chrys Jeep Dodge Of Bryan College Station",8,34700
"Bredemann Ford-glenview",2,34700
"Janson Automotive",2,34700
"Ion Cars",4,34700
"Nalley Hyundai",18,34700
"Trustone Financial Fed Credit Union",5,34700
"Isringhausen Imports Inc",2,34600
"Garden Savings Federal Credit Union",5,34600
"Autonation Chevrolet Cadillac South Corpus Chris",2,34600
"Curmsons Auto Sales Inc",2,34600
"Buschmeer Enterprises Llc",3,34500
"Shelly Bmw",1,34500
"Dave White Chevrolet Inc",1,34500
"Michael Riggio Auto Sales",2,34500
"Erac Vehicle Holdings Llc",1,34500
"Wichita Falls Ford Lin Merc",2,34500
"Jeepies Llc",2,34500
"Dick Hannah Honda",2,34450
"Fred Beans Subaru",2,34450
"Frank Boucher Chevrolet Inc",9,34425
"Oconnors Auto Outlet Inc",2,34400
"C/H Auto Usa Inc",1,34400
"Signature Rent A Car",2,34400
"Southern Imports Llc",2,34400
"Four Way M & M Llc",1,34400
"Mwm Motors Inc",2,34400
"Autonation V Imports Of Delray Beach Llc",3,34400
"Garlitch Ford Chrysler Dodge Jeep",7,34350
"Usf Federal Credit Union",6,34350
"Kia Auto Sport Of Pensacola Inc",7,34350
"Naddi Auto Trade Inc",1,34325
"Gosch Toyota",4,34300
"Country Club Auto Inc",4,34300
"Ricks Place Auto Sales Inc",2,34300
"Orange County Motorsports Llc",2,34300
"Mc Quality Cars Inc",2,34300
"Hertrich Family",2,34300
"Remarketing By Ge/Wiregrass Fcu",3,34200
"Beck Nissan Inc",7,34200
"Honda Cars Of Mckinney",8,34200
"Rok Auto Brokers",2,34200
"Lee Buick Gmc",5,34200
"A1 Group Inc",2,34200
"Colonial Toyota",1,34200
"Hatfield Hyundai",12,34175
"Harold's Car Donation Service",14,34150
"Woodlake Auto Sales Inc",2,34100
"Alabama Wholesale Motors Llc",4,34100
"Mega Leasing",3,34100
"Laramine Plains Community Federal Credit Union",2,34100
"Luther White Bear Acura",11,34050
"Corpat Inc",2,34000
"Bendary Car Corp",3,34000
"United Auto Usa Corp",1,34000
"All Car Care",2,34000
"Flow Companies Of Greensboro Llc",1,34000
"Fiala Automotive Inc",2,34000
"New Prague Ford",2,34000
"Central Auto Outlet",1,34000
"Tuttle Click Ford Lincoln Mercury",1,34000
"Cherokee County Toyota",1,34000
"Danco Financial Inc",6,33900
"Rent A Van",2,33900
"Er Fleet And Rental",2,33900
"Pacoima Motors",6,33900
"Acura Of Serramonte",7,33900
"J.b.c Auto Wholesale",2,33900
"Wasatch Peaks Credit Union",5,33900
"Founders Fcu",2,33900
"Berglund Chev Buick Jeep",2,33900
"Kars Incorporated",1,33900
"Mac Haik Ford Lincoln",1,33900
"Melissa's Autos",3,33900
"Jaguar Land Rover Anaheim Hills",2,33900
"Route 44 Hyundai",21,33875
"San Diego Import Center",2,33850
"United Imports Inc",6,33850
"Mercedes Benz Of Buffalo",1,33800
"Family Auto Sales",4,33800
"Switzerland Of America",1,33800
"Cdd Motors",1,33800
"Manheim Riverside",3,33750
"Mazda Of Clear Lake",1,33750
"Niello Bmw",1,33750
"Foreign Motorcars Inc",7,33700
"Onemain Rem/Platinum Motors",2,33700
"Honor Finance Llc",11,33650
"Onion Creek Auto Sales Llc",3,33600
"Motion Auto Sales",2,33600
"Lexus Of Toledo",1,33600
"Credit Union Collections Llc",5,33600
"Moab Ford",1,33600
"Miller Auto Sales",4,33600
"Huebner Chevrolet Oldsmobile",5,33600
"Kal Motors",10,33550
"Nae Moe Inc Dba Matthews & Michaels",7,33550
"Sms Financial Inc",4,33500
"Fiserv/Community Bank",6,33500
"Sunset Autos",1,33500
"Remarketing By Ge/Coc Llc",10,33500
"Valley Honda",2,33500
