brand_model,transmission,quantity_sold
"Honda CR-Z",manual,23
"Lexus GS 450h",automatic,23
"Chevrolet Cavalier",manual,23
"Mitsubishi Lancer Evolution",automatic,23
"Infiniti Q70",automatic,23
"Cadillac Catera",automatic,23
"Isuzu Trooper",automatic,23
"Maserati GranTurismo",automatic,22
"GMC Yukon Hybrid",automatic,22
"Saturn L300",automatic,22
"Mercury Cougar",automatic,22
"Tesla Model S",automatic,22
"Infiniti G37",manual,22
"Scion xD",manual,22
"Chevrolet Malibu Hybrid",automatic,22
"Chevrolet Silverado 2500",automatic,21
"Nissan Versa Note",manual,21
"Volkswagen Beetle",manual,21
"Subaru WRX",manual,21
"Cadillac CTS-V Coupe",automatic,20
"Chrysler LHS",automatic,20
"Audi A5",manual,20
"Dodge Dakota",manual,20
"Suzuki Forenza",manual,20
"Mitsubishi Diamante",automatic,20
"Volkswagen Golf R",manual,20
"Mazda Mazdaspeed 3",manual,20
"Mazda 3",automatic,20
"Infiniti G37 Convertible",automatic,19
"Nissan Cube",manual,19
"Audi S6",automatic,19
"Mitsubishi Raider",automatic,19
"Cadillac XLR",automatic,19
"Volvo XC",automatic,19
"Infiniti G20",automatic,19
"Mercury Mariner Hybrid",automatic,19
"Cadillac CTS",manual,19
"Volvo S40",manual,19
"Chrysler Cirrus",automatic,19
"Mitsubishi Outlander Sport",manual,19
"Nissan NV200",automatic,18
"MINI Cooper Coupe",automatic,18
"BMW X6 M",automatic,18
"Chrysler Crossfire",manual,18
"Chevrolet Silverado 1500",manual,18
"Chevrolet Corvette Stingray",manual,18
"Lincoln Navigator L",automatic,18
"Audi R8",automatic,17
"Volkswagen Rabbit",manual,17
"Mitsubishi Eclipse Spyder",manual,17
"Lexus IS 250",manual,17
"Ford Escort",manual,17
"Mitsubishi Mirage",manual,17
"Isuzu Axiom",automatic,17
"Hyundai Tucson",manual,17
"Scion xA",automatic,17
"Lexus GS 400",automatic,17
"Pontiac Vibe",manual,16
"Audi S8",automatic,16
"Saturn Sky",manual,16
"BMW 2 Series",automatic,16
"Mitsubishi i-MiEV",automatic,16
"Volvo V40",automatic,16
"Volvo 850",automatic,16
"Ram 3500",manual,16
"GMC Sierra 2500HD Classic",automatic,16
"Volkswagen GLI",manual,16
"Cadillac CTS-V",manual,16
"Ford Transit Van",automatic,16
"Ram 2500",manual,15
"Rolls-Royce Ghost",automatic,15
"Mazda Protege",manual,15
"Lexus IS 350 C",automatic,15
"Lincoln MKC",automatic,15
"Mazda Mazdaspeed Mazda3",manual,14
"Toyota Tercel",automatic,14
"Suzuki Verona",automatic,14
"GMC Suburban",automatic,14
